Time,Time Code,Country Name,Country Code,Access to electricity (% of population) [EG.ELC.ACCS.ZS],GDP (current US$) [NY.GDP.MKTP.CD],GDP per capita (current US$) [NY.GDP.PCAP.CD],"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative) [SE.TER.CUAT.BA.ZS]","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative) [SE.SEC.CUAT.LO.ZS]","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative) [SE.PRM.CUAT.ZS]",Urban population (% of total population) [SP.URB.TOTL.IN.ZS],Urban population growth (annual %) [SP.URB.GROW],Population in the largest city (% of urban population) [EN.URB.LCTY.UR.ZS],Population in urban agglomerations of more than 1 million (% of total population) [EN.URB.MCTY.TL.ZS],Urban population [SP.URB.TOTL],Population density (people per sq. km of land area) [EN.POP.DNST],Population growth (annual %) [SP.POP.GROW],CO2 emissions (kt) [EN.ATM.CO2E.KT],CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC]
2019,YR2019,Afghanistan,AFG,97.6999969482422,18904490262.913,500.522664145294,..,..,..,25.754,3.9192869845162,42.2942695383656,10.8924664317099,9727157,57.9082516903546,2.90852909268743,6079.99992370605,0.160976451493467
2019,YR2019,Albania,ALB,100,15401830754.0773,5396.21586434732,..,..,..,61.229,1.07141354924368,27.7309419298429,..,1747593,104.167554744526,-0.426007367032238,4829.99992370605,1.69224831964856
2019,YR2019,Algeria,DZA,99.5,171767403748.19,4022.15018374716,..,..,..,73.189,2.60752982388108,8.73226623604987,6.39105837935877,31255632,17.9303156808402,1.83944488568624,171250,4.01003452306043
2019,YR2019,American Samoa,ASM,..,647000000,13672.576657298,..,..,..,87.147,-2.31068980104363,..,..,41239,236.605,-2.30413869890523,..,..
2019,YR2019,Andorra,AND,100,3155065487.51819,41327.5020305489,..,..,..,87.984,1.66935752815567,..,..,67170,162.431914893617,1.75749125736997,500,6.54938894201171
2019,YR2019,Angola,AGO,45.6427993774414,69309110145.7687,2142.23875712854,..,..,..,66.177,4.40219114365749,37.57354873284,24.8650474253427,21410634,25.9513820486083,3.39527779197097,25209.9990844727,0.77920257513549
2019,YR2019,Antigua and Barbuda,ATG,100,1687533333.33333,18319.4560540762,..,..,..,24.506,0.15516594783013,..,..,22574,209.356818181818,0.534443400511753,519.999980926514,5.64499474501464
2019,YR2019,Argentina,ARG,100,447754609218.678,9963.6725062053,..,..,..,91.991,1.12501972603644,36.4233895896017,42.9040289361208,41339571,16.4208266190179,0.993397493293046,168100.006103516,3.74065029063396
2019,YR2019,Armenia,ARM,100,13619291361.2814,4828.50517771789,..,..,..,63.219,-0.453277999510481,60.7531253575122,38.4075101698148,1783156,99.0727783631893,-0.564065542556681,6170.00007629395,2.1874763175712
2019,YR2019,Aruba,ABW,100,3368970253.05286,31650.7605367511,..,..,..,43.546,0.762320962979713,..,..,46351,591.344444444444,0.451969658863314,..,..
2019,YR2019,Australia,AUS,100,1392227864397.08,54941.4341793948,33.0947799682617,93.9455032348633,..,86.124,1.61533578272113,22.3166523765937,60.9572088510529,21824008,3.29435141874306,1.48520844681971,386529.998779297,15.2536183403361
2019,YR2019,Austria,AUT,100,444621176100.548,50070.4033482901,15.3636302947998,..,..,58.515,0.81791060733558,36.8611752887029,21.5693159397832,5196085,107.609306834707,0.444673639004876,64769.9966430664,7.2939842524557
2019,YR2019,Azerbaijan,AZE,100,48174235294.1176,4805.75371765917,15.7220296859741,95.5190582275391,98.5110015869141,56.031,1.47506479033467,41.1831774709233,23.0753461369756,5616706,121.280071139933,0.846646726414021,35509.9983215332,3.54239782750878
2019,YR2019,"Bahamas, The",BHS,100,13192800000,32610.4850490784,..,..,..,83.132,0.78627505458247,..,..,336316,40.4152847152847,0.657441084996389,2839.99991416931,7.02002416017844
2019,YR2019,Bahrain,BHR,100,38653318085.1064,25869.1129129041,..,..,..,89.394,0.579117627550925,44.9522128240027,..,1335714,1908.28607918263,0.459362584678761,33259.9983215332,22.2595806695899
2019,YR2019,Bangladesh,BGD,92.1999969482422,351238474244.667,2122.07885124799,9.76054954528809,44.6835517883301,61.0552597045898,37.405,3.20139457166867,32.7622548908364,15.2239971982927,61911343,1271.53892601982,1.1131724900167,90739.9978637695,0.548224196802713
2019,YR2019,Barbados,BRB,100,5324250000,19002.9623813263,..,..,..,31.158,0.210994734607846,..,..,87298,651.581395348837,0.175755759089405,1250,4.46141766007567
2019,YR2019,Belarus,BLR,100,64409647193.8044,6837.71782606351,28.303539276123,98.1666870117188,99.7885513305664,79.044,0.36787841302964,27.0849265232238,21.4090107198083,7445754,46.4107506220284,-0.201786600970723,57669.9981689453,6.12223776544422
2019,YR2019,Belgium,BEL,100,535830876745.097,46638.6813054855,35.3040084838867,88.4269638061523,96.7423629760742,98.041,0.581271660540823,18.3354076572516,27.0049647575329,11263911,379.424702774108,0.540461327098122,93010.0021362305,8.09558395403513
2019,YR2019,Belize,BLZ,92.7200012207031,2416500000,6210.56554311929,..,..,..,45.866,2.13283729183047,..,..,178462,17.0580885576502,1.82301611890652,639.999985694885,1.64484248241402
2019,YR2019,Benin,BEN,40.3286895751953,14391686309.033,1170.96553298099,..,..,..,47.861,4.04076753423389,16.8470685675691,..,5882329,108.996488116353,2.88707408493347,7300.00019073486,0.593957402249655
2019,YR2019,Bermuda,BMU,100,7423465000,116153.166121638,..,..,..,100,-0.0109521313739413,..,..,63911,1183.53703703704,-0.0109521313739413,..,..
2019,YR2019,Bhutan,BTN,100,2535657069.05537,3303.96421053812,..,..,..,41.612,2.43936953003751,..,..,319355,20.1221552176193,0.701252583573764,1049.99995231628,1.36815120067167
2019,YR2019,Bolivia,BOL,95.0800018310547,40895322843.7851,3472.38083075685,24.6986598968506,..,..,69.773,1.957510150086,22.335022353824,40.6112598669561,8217386,10.8717022062217,1.45750439141779,22340.0001525879,1.89686699834282
2019,YR2019,Bosnia and Herzegovina,BIH,100,20202479537.5193,6011.37067052755,..,..,..,48.626,-0.379470010298639,20.9734062180459,..,1634179,65.63888671875,-1.16608133465016,21069.9996948242,6.26950657013477
2019,YR2019,Botswana,BWA,69.9597396850586,16695928792.5697,6679.16767381458,..,..,..,70.172,2.99088168271581,..,..,1754091,4.41074585781589,1.95085634796209,7250,2.90034572120997
2019,YR2019,Brazil,BRA,99.8000030517578,1873274432754.47,8845.25911841876,..,..,..,86.824,1.06023755345792,11.8809555877824,41.9587621242922,183878366,25.3385176606278,0.766107802084815,434299.987792969,2.05068507848387
2019,YR2019,British Virgin Islands,VGB,100,..,..,..,..,..,48.116,1.71892607588702,..,..,14728,204.066666666667,0.902459156305993,..,..
2019,YR2019,Brunei Darussalam,BRN,100,13469422958.5105,30748.7374865551,..,..,..,77.942,1.2674328820787,..,..,341423,83.1210626185958,0.865282211615446,6989.99977111816,15.9571548577283
2019,YR2019,Bulgaria,BGR,100,68915875214.6537,9879.33434282707,..,..,..,75.347,-0.252969936337171,24.2947191861838,18.3053433166647,5256027,64.2571941783346,-0.703905641117455,39139.9993896484,5.61085727989368
2019,YR2019,Burkina Faso,BFA,18.3748550415039,16178162030.0694,772.166894917835,..,..,..,29.98,4.80040438074702,42.232015310204,12.6611574397592,6281301,76.5776279239766,2.70387556725288,5000,0.238644814374665
2019,YR2019,Burundi,BDI,11.3565282821655,2576518846.39,216.972968085123,..,..,..,13.366,5.79490607932596,60.1329014592447,..,1587191,462.415809968847,3.26424857025887,720.000028610229,0.0606324085103501
2019,YR2019,Cabo Verde,CPV,91.4000015258789,1981845740.70615,3434.56274492859,..,..,..,66.195,1.71717136911241,..,..,381965,143.183622828784,1.01513458042928,649.999976158142,1.12645785515162
2019,YR2019,Cambodia,KHM,84,27089389786.979,1671.38538492515,..,..,..,23.805,2.89969209242329,52.2001661891622,12.4262497697089,3858254,91.8181849082257,1.13244216195679,16180.0003051758,0.99828812132025
2019,YR2019,Cameroon,CMR,63.4898796081543,39670977332.7348,1538.68794663506,..,..,..,56.968,3.82304687846584,26.0246952480731,28.5410234858037,14687684,54.5415603647056,2.7748797807221,9430.00030517578,0.36575423097444
2019,YR2019,Canada,CAN,100,1742015045482.31,46328.6718408497,..,..,..,81.482,1.52330833127913,20.0383742744441,45.7730877420765,30638234,4.19394931064213,1.43613682316886,580210.021972656,15.4306128276297
2019,YR2019,Cayman Islands,CYM,100,5943589103.56414,89871.9131394463,..,..,..,100,1.90819265891466,..,..,66134,275.558333333333,1.90819265891466,..,..
2019,YR2019,Central African Republic,CAF,14.3000001907349,2221301400.72468,426.408762581226,..,..,..,41.77,3.20011244517151,39.9643831272533,..,2175935,8.36194420366625,2.22336107125156,239.999994635582,0.0460712358524027
2019,YR2019,Chad,TCD,8.39999961853027,11314951342.7807,701.621216594764,..,..,..,23.279,4.24412488015106,36.5333190558879,8.50459103461268,3754173,12.8072315756036,3.29458272753979,2250,0.139518738482728
2019,YR2019,Channel Islands,CHI,100,..,..,..,..,..,30.931,1.33327623877686,..,..,52400,..,1.27783031331199,..,..
2019,YR2019,Chile,CHL,100,278584733103.01,14631.9468779229,..,..,..,87.643,1.88157002434462,40.2924807044812,35.3135392054985,16686776,25.6068131566631,1.7913919716665,91370.002746582,4.79897448626273
2019,YR2019,China,CHN,100,14279937500606.5,10143.8381955585,..,..,..,60.308,2.29017723362897,3.09983927767305,28.3415047469535,848982855,149.367573167744,0.354740890170827,10707219.7265625,7.60593696057347
2019,YR2019,Colombia,COL,99.7559204101563,323109540251.855,6438.06018290435,12.0679597854614,55.8196296691895,79.9153823852539,81.104,2.23350946308688,26.4823545325798,44.0635286071569,40703994,45.2342550698513,1.83074694246543,81040.0009155273,1.61474774997391
2019,YR2019,Comoros,COM,84.2977752685547,1195019559.09381,1510.79735809965,..,..,..,29.164,2.55709345911319,..,..,230683,425.032778076303,1.87244791212477,319.999992847443,0.404558352293774
2019,YR2019,"Congo, Dem. Rep.",COD,19.1000003814697,51775830725.8441,575.882790805511,..,..,..,45.046,4.4957174248484,33.9344738885148,23.5151310427933,40499458,39.658097527624,3.18628838899818,3210.00003814697,0.035703604452862
2019,YR2019,"Congo, Rep.",COG,48.4074745178223,12750339022.9915,2288.80813763495,..,..,..,67.373,3.03586515001206,61.4967081160726,62.5337635101162,3753170,16.312541727672,2.355238072353,7260.00022888184,1.30323966861845
2019,YR2019,Costa Rica,CRI,99.7099990844727,64417670082.6127,12669.341068679,..,..,..,80.076,1.7885179241658,33.8585137136527,27.1125444780365,4071490,99.57955346651,0.865128346659953,8239.99977111816,1.62060141840353
2019,YR2019,Cote d'Ivoire,CIV,68.4595565795898,58539424929.7248,2238.81100489009,..,..,..,51.239,3.43309904734138,37.7567297897318,19.3461712724071,13397744,82.2250031446541,2.53128744560298,10829.9999237061,0.414187926192633
2019,YR2019,Croatia,HRV,100,62327983579.5899,15331.8830536722,..,..,..,57.242,-0.037465606839713,29.4466513567497,..,2327032,72.6405010363805,-0.554146739042888,16520.0004577637,4.06370783264011
